 isotope, frequency, intensity, einstein_a, air_halfwidth, self_halfwidth, lower_energy, t_exponent, p_shift
1,11890.6476,9.61E-27,0.0001434,0.0879,0.3,285.2193,0.68,-0.011821
4,11891.0299,9.46E-29,0.00176,0.092,0.426,293.6365,0,0
1,11891.8387,3.12E-26,0.006903,0.0296,0.4,1114.5323,-0.2,-0.031443
4,11891.9126,3.70E-29,0.001027,0.1003,0.465,108.9262,0,0
4,11891.9846,3.48E-29,0.000904,0.0883,0.428,362.5071,0,0
4,11891.9846,4.21E-29,0.06581,0.0376,0.234,1294.8364,0,0
4,11891.9846,4.21E-29,0.06581,0.0376,0.234,1294.8364,0,0
4,11892.3416,1.29E-28,0.002116,0.09,0.445,225.8649,0,0
4,11892.7076,6.73E-29,0.06545,0.0319,0.194,1171.5316,0,0
4,11892.7076,6.73E-29,0.06545,0.0319,0.194,1171.5316,0,0
1,11893.4887,4.88E-25,0.08598,0.0455,0.327,1293.6342,-0.03,-0.026913
4,11893.6265,7.70E-28,0.02274,0.0846,0.407,295.6775,0,0
4,11893.7658,7.23E-28,0.02134,0.0846,0.394,295.4873,0,0
1,11893.8578,1.09E-24,0.001465,0.0924,0.536,136.7617,0.71,-0.009485
4,11893.8992,3.11E-27,0.04992,0.0918,0.466,221.9461,0,0
1,11894.067,1.56E-25,0.08221,0.046,0.709,1293.0183,-0.05,-0.037532
1,11894.1791,1.47E-25,0.01085,0.034,0.3,1114.55,-0.2,-0.024407
1,11894.412,7.67E-27,0.0001457,0.0559,0.3,586.4792,0.05,-0.020099
4,11894.4272,2.79E-27,0.04562,0.09,0.445,225.8649,0,0
1,11895.593,3.76E-25,0.001558,0.0929,0.438,142.2785,0.63,-0.013399
4,11895.7145,2.73E-29,0.000398,0.0953,0.51,150.1562,0,0
1,11895.8417,9.03E-27,0.1734,0.0688,0.3,2180.6428,0.21,-0.026647
1,11896.7245,1.44E-26,0.0009496,0.0861,0.3,816.6943,0.73,-0.010146
1,11897.0162,1.19E-26,0.0003201,0.0897,0.3,602.7735,0.81,-0.011875
1,11897.211,2.63E-25,0.07163,0.0823,0.365,1360.2355,0.62,-0.017026
